original_name,image_count,normalized_name
Corn gray leaf spot,528,corn gray leaf spot
Corn holcus_ leaf spot,432,corn holcus leaf spot
Corn Normal leaf,568,corn normal leaf
Fig Blight_leaf disease,763,fig blight leaf disease
Fig Brown spot,428,fig brown spot
Fig normal leaf,600,fig normal leaf
Fig_rust leaf,500,fig rust leaf
Grape Anthracnose leaf,996,grape anthracnose leaf
Grape Brown spot leaf,640,grape brown spot leaf
Grape Downy mildew leaf,624,grape downy mildew leaf
Grape Mites_leaf disease,500,grape mites leaf disease
Grape Normal_leaf,1485,grape normal leaf
Grape Powdery_mildew leaf,1208,grape powdery mildew leaf
Grape shot hole leaf disease,852,grape shot hole leaf disease
lokat Leaf_spot,792,lokat leaf spot
Lokat Normal leaf,501,lokat normal leaf
Pear Black spot _ leaf disease,904,pear black spot leaf disease
Pear Normal _leaf,764,pear normal leaf
persimmons Brown_spot,663,persimmons brown spot
tomato spider mites,508,tomato spider mites
tomato verticillium wilt,420,tomato verticillium wilt
tomato_early_blight,1823,tomato early blight
tomato_healthy_leaf,1478,tomato healthy leaf
tomato_leaf_curl,1480,tomato leaf curl
tomato_leaf_miner,1497,tomato leaf miner
tomato_leaf_mold,1670,tomato leaf mold
tomato_septoria_leaf,1258,tomato septoria leaf
Walnut Anthracnose_leaf disease,648,walnut anthracnose leaf disease
Walnut Blotch_leaf disease,1354,walnut blotch leaf disease
Walnut Normal_leaf,712,walnut normal leaf
Walnut Shot_hole,916,walnut shot hole
Squash__Powdery_mildew (1),1835,squash powdery mildew
Strawberry__Leaf_scorch (1),1109,strawberry leaf scorch
Strawberry__healthy (1),1000,strawberry healthy
Tomato__Bacterial_spot (1),2127,tomato bacterial spot
Tomato__Early_blight,1000,tomato early blight
Tomato__Late_blight,1909,tomato late blight
Tomato__Leaf_Mold,917,tomato leaf mold
Potato__Late_blight,1000,potato late blight
Potato__healthy,335,potato healthy
Raspberry__healthy,1000,raspberry healthy
Soybean__healthy,5090,soybean healthy
Squash__Powdery_mildew,1835,squash powdery mildew
Strawberry__Leaf_scorch,1109,strawberry leaf scorch
Strawberry__healthy,1000,strawberry healthy
Tomato__Bacterial_spot,2127,tomato bacterial spot
Pumpkin_Bacterial Leaf Spot,400,pumpkin bacterial leaf spot
Pumpkin_Downy Mildew,400,pumpkin downy mildew
Pumpkin_Healthy Leaf,400,pumpkin healthy leaf
Pumpkin_Mosaic Disease,400,pumpkin mosaic disease
Pumpkin_Powdery_Mildew,400,pumpkin powdery mildew
Tomato_Leaf_Blight,1667,tomato leaf blight
Tomato_Leaf_Curl,591,tomato leaf curl
Tomato_Septoria,1000,tomato septoria
Tomato_Verticillium_Wilt,1545,tomato verticillium wilt
maize fall army worm,597,maize fall army worm
beetle,139,beetle
bollworm,167,bollworm
chili_healthy,100,chili healthy
gauva_diseased,142,gauva diseased
alfalfa_plant_bug,393,alfalfa plant bug
Cauliflower_Black_Rot,1088,cauliflower black rot
Cauliflower_Insect_Damage,639,cauliflower insect damage
Pepper_Bacterial_Spot,856,pepper bacterial spot
Pepper_Healthy,902,pepper healthy
Potato_Early_Blight (1),885,potato early blight
Potato_Late_Blight,482,potato late blight
Potato_Healthy (1),665,potato healthy
Tomato_Bacterial_Spot,413,tomato bacterial spot
Tomato_Healthy,704,tomato healthy
Tomato_Septoria_Leaf_Spot,518,tomato septoria leaf spot
Tomato_Target_Spot,1200,tomato target spot
Tomato_Spider_Mite,1200,tomato spider mite
Tomato_Yellow_Leaf_Curl_Virus,1476,tomato yellow leaf curl virus
Generic_Fall_Armyworm,597,generic fall armyworm
Apple_Apple_Scab,1000,apple apple scab
Apple_Black_Rot (1),795,apple black rot
Apple_Cedar_Apple_Rust,467,apple cedar apple rust
Apple_Healthy,547,apple healthy
Apple_Rotten,614,apple rotten
Blueberry_Healthy,1000,blueberry healthy
Cassava_Mosaic_Disease,690,cassava mosaic disease
Cherry_Powdery_Mildew,779,cherry powdery mildew
Cherry_Healthy (2),534,cherry healthy
Corn_Common_Rust (1),726,corn common rust
Corn_Northern_Leaf_Blight (3),802,corn northern leaf blight
Grape_Black_Rot,768,grape black rot
Grape_Esca,1200,grape esca
Brassica_Black_leaf_spot (1),436,brassica black leaf spot
Cauliflower_Alternaria_leaf_spot (1),292,cauliflower alternaria leaf spot
Chili_Cercospora_leaf_spot (1),733,chili cercospora leaf spot
Chili_White_spot (1),1200,chili white spot
Peanut_Early_leaf_spot (1),1000,peanut early leaf spot
Peanut_Late_leaf_spot (1),1000,peanut late leaf spot
Pest_Cabbage_looper (2),234,pest cabbage looper
Pest_Corn_borer,1018,pest corn borer
Pest_Icerya_purchasi (1),433,pest icerya purchasi
Pest_Mole_cricket (1),989,pest mole cricket
Pest_Peach_borer (1),414,pest peach borer
Pest_Rice_borer (1),302,pest rice borer
Pest_Rice_leaf_roller (1),669,pest rice leaf roller
Pest_Rice_planthopper (1),535,pest rice planthopper
Pest_Rice_water_weevil (1),513,pest rice water weevil
Pest_Scirtothrips_dorsalis (1),484,pest scirtothrips dorsalis
Pest_Unaspis_yanonensis (1),251,pest unaspis yanonensis
Pest_Whitefly (1),415,pest whitefly
Tea_Brown_blight,339,tea brown blight
Tea_Healthy (1),221,tea healthy
Tea_Red_leaf_spot,429,tea red leaf spot
Apple_Black_Rot,1987,apple black rot
Banana_Cordana,739,banana cordana
Banana_Healthy_Fruit,133,banana healthy fruit
Banana_Healthy_Leaf,535,banana healthy leaf
Citrus_Fruit_Disease,158,citrus fruit disease
Citrus_Healthy_Fruit,190,citrus healthy fruit
Citrus_Healthy_Leaf,192,citrus healthy leaf
Guava_Healthy_Fruit,50,guava healthy fruit
Guava_Healthy_Leaf,150,guava healthy leaf
Mango_Diseased_Fruit,213,mango diseased fruit
Mango_Healthy_Fruit,348,mango healthy fruit
Mango_Healthy_Leaf,308,mango healthy leaf
Papaya_Diseased_Fruit,127,papaya diseased fruit
Papaya_Healthy_Fruit,143,papaya healthy fruit
Papaya_Healthy_Leaf,298,papaya healthy leaf
Papaya_Ring_Spot,717,papaya ring spot
Black Gram (Vigna mungo)_cercospora leaf spot,598,black gram (vigna mungo) cercospora leaf spot
Black Gram (Vigna mungo)_healthy,545,black gram (vigna mungo) healthy
Black Gram (Vigna mungo)_insect,408,black gram (vigna mungo) insect
Black Gram (Vigna mungo)_leaf Crinkle,305,black gram (vigna mungo) leaf crinkle
Corn_Common_Rust,1200,corn common rust
Corn_Gray_Leaf_Spot,1200,corn gray leaf spot
Corn_Healthy,1200,corn healthy
Corn_Leaf_Blight,1200,corn leaf blight
Potato_Early_Blight,1200,potato early blight
Potato_Healthy,1200,potato healthy
Rice_Brown_Spot,563,rice brown spot
Rice_Healthy (1),523,rice healthy
Rice_Hispa,523,rice hispa
Rice_Leaf_Blast,1325,rice leaf blast
Wheat_Brown_Rust (1),1128,wheat brown rust
Wheat_Healthy (1),1200,wheat healthy
Brassica_Black_leaf_spot,436,brassica black leaf spot
Cauliflower_Alternaria_leaf_spot,292,cauliflower alternaria leaf spot
Chili_Cercospora_leaf_spot,733,chili cercospora leaf spot
Chili_White_spot,1200,chili white spot
Peanut_Early_leaf_spot,1000,peanut early leaf spot
Peanut_Late_leaf_spot,1000,peanut late leaf spot
Pest_Cabbage_looper (1),234,pest cabbage looper
Pest_Icerya_purchasi,433,pest icerya purchasi
Pest_Mole_cricket,989,pest mole cricket
Pest_Peach_borer,413,pest peach borer
Pest_Rice_borer,302,pest rice borer
Pest_Rice_leaf_roller,668,pest rice leaf roller
Pest_Rice_planthopper,533,pest rice planthopper
Pest_Rice_water_weevil,513,pest rice water weevil
Pest_Scirtothrips_dorsalis,483,pest scirtothrips dorsalis
Pest_Unaspis_yanonensis,251,pest unaspis yanonensis
Pest_Whitefly,414,pest whitefly
Citrus_Black_spot (2),311,citrus black spot
Citrus_Greening,1200,citrus greening
Cotton_Bacterial_blight,448,cotton bacterial blight
Cotton_Curl_virus,418,cotton curl virus
Cotton_Fusarium_wilt,419,cotton fusarium wilt
Cotton_Healthy,425,cotton healthy
Pest_Wheat_aphid,903,pest wheat aphid
Pest_Wheat_mite,800,pest wheat mite
Pest_Wheat_stem_fly,234,pest wheat stem fly
Rice_Healthy,653,rice healthy
Rice_Leaf_scald,628,rice leaf scald
Sugarcane_Healthy (1),522,sugarcane healthy
Sugarcane_Mosaic_virus,462,sugarcane mosaic virus
Sugarcane_Rust (1),514,sugarcane rust
Sugarcane_Yellow_leaf,505,sugarcane yellow leaf
Wheat_Blast (1),647,wheat blast
Wheat_Brown_rust,1200,wheat brown rust
Wheat_Fusarium_head_blight,611,wheat fusarium head blight
Wheat_Leaf_blight,842,wheat leaf blight
Wheat_Smut,1200,wheat smut
Wheat_Yellow_rust,1200,wheat yellow rust
Orange_Citrus_Greening,503,orange citrus greening
Pest_Boxelder_bug,148,pest boxelder bug
Acrididae (1),1200,acrididae
Aphididae (1),1200,aphididae
Cerambycidae_Adult (1),1200,cerambycidae adult
Crambidae_Larva (1),1137,crambidae larva
Pest_Ant,1038,pest ant
Pest_Bee,1089,pest bee
Pest_Beetle,854,pest beetle
Pest_Caterpillar,915,pest caterpillar
Pest_Earthworm,717,pest earthworm
Pest_Earwig,942,pest earwig
Pest_Grasshopper,1044,pest grasshopper
Pest_Moth,1056,pest moth
Pest_Slug,809,pest slug
Pest_Snail,1073,pest snail
Pest_Wasp,1005,pest wasp
Pest_Weevil,960,pest weevil
Hibiscus_Citrus_Pot,1000,hibiscus citrus pot
Hibiscus_Early_Mild_Spotting,417,hibiscus early mild spotting
Hibiscus_Fungal_Infection,1000,hibiscus fungal infection
Hibiscus_Healthy,1000,hibiscus healthy
Hibiscus_Mild_Edge_Damage,1000,hibiscus mild edge damage
Hibiscus_Senescent,1000,hibiscus senescent
Hibiscus_Slightly_Diseased,1000,hibiscus slightly diseased
Hibiscus_Wrinkled_Leaf,1000,hibiscus wrinkled leaf
Tea_Algal_Spot,1000,tea algal spot
Tea_Brown_Blight,1000,tea brown blight
Tea_Grey_Blight,1000,tea grey blight
Tea_Healthy,1000,tea healthy
Tea_Red_Spot,1000,tea red spot
Banana_Black_Sigatoka,1355,banana black sigatoka
Banana_Cordana_Leaf_Spot,540,banana cordana leaf spot
Banana_Moko_Disease,445,banana moko disease
Banana_Panama_Disease,1105,banana panama disease
Banana_Pestalotiopsis_Leaf_Spot,559,banana pestalotiopsis leaf spot
Blackgram_Leaf_Crinkle_Virus,152,blackgram leaf crinkle virus
Blackgram_Yellow_Mosaic_Virus,224,blackgram yellow mosaic virus
Cauliflower_Bacterial_Soft_Rot,165,cauliflower bacterial soft rot
Corn_Northern_Leaf_Blight (2),187,corn northern leaf blight
Paddy_Bacterial_Blight,466,paddy bacterial blight
Radish_Black_Rot,517,radish black rot
Radish_Mosaic_Virus,547,radish mosaic virus
Acrididae,1200,acrididae
Aphididae,1200,aphididae
Cerambycidae_Adult,1200,cerambycidae adult
Cerambycidae_Larva,171,cerambycidae larva
Chrysomelidae_Adult,856,chrysomelidae adult
