Maladie Recherchée,Statut,Fichier Original,Score Confiance (%)
Late Blight Fruit,ECHEC,N/A,0
Late Blight Leaf,ECHEC,N/A,0
Leaf Bacterial Wilt,ECHEC,N/A,0
Leaf Curl Virus,ECHEC,N/A,0
Leaf Spurge Flea Beetle,ECHEC,N/A,0
Lesser Cornstalk Borer Elasmopalpus lignosella,ECHEC,N/A,0
Lettuce Chlorosis Virus LCV,ECHEC,N/A,0
Longhorn Beetle,ECHEC,N/A,0
Loose Smut Wheat Ustilago tritici,ECHEC,N/A,0
Maize Tar Spot,ECHEC,N/A,0
Mealybug,ECHEC,N/A,0
Northern Maize Leaf Blight,ECHEC,N/A,0
Penicillium Fungi,ECHEC,N/A,0
Phytophthora Blight Cucurbitaceae,ECHEC,N/A,0
Potyvirus Mosaic Virus,ECHEC,N/A,0
Pythium Diseases,ECHEC,N/A,0
Red Spider Mite,ECHEC,N/A,0
Rhizopus Soft Rots,ECHEC,N/A,0
Rhododendron Stem Borer Oberea myops,ECHEC,N/A,0
Rice Leaf Blast,ECHEC,N/A,0
Root Rot Damping Off Rhizoctonia,ECHEC,N/A,0
Root Knot Nematode Meloidogyne,ECHEC,N/A,0
Sclerotinia Sclerotiorum Fruit Rot,ECHEC,N/A,0
Sclerotinia Sclerotiorum Leaf Rot,ECHEC,N/A,0
Sclerotinia Sclerotiorum Stem Rot,ECHEC,N/A,0
Sclerotinia Timber Rot,ECHEC,N/A,0
Solanaceae Bacterial Soft Rot,ECHEC,N/A,0
Solanaceae Bacterial Spot,ECHEC,N/A,0
Southern Red Mite Oligonychus ilicis,ECHEC,N/A,0
Southern Root Knot Nematode,ECHEC,N/A,0
Soybean Leaf Halo Blight,ECHEC,N/A,0
Soybean Leaf Mosaic Virus,ECHEC,N/A,0
Soybean Leaf Rust,ECHEC,N/A,0
Soybean Tospovirus Leaf Vein Necrosis Virus,ECHEC,N/A,0
Sphinx Moth Adult,ECHEC,N/A,0
Sphinx Moth Larvae Damages,ECHEC,N/A,0
Spider Mite Leaf Damages,ECHEC,N/A,0
Spotted Wilt Virus,ECHEC,N/A,0
Stem Boring Weevil Mecinus janthinus,ECHEC,N/A,0
Stem Borer Leaf Damages,ECHEC,N/A,0
Sweet Potato Fruit Feathery Mottle Virus,ECHEC,N/A,0
Sweet Potato Leaf Feathery Mottle Virus,ECHEC,N/A,0
Target Spot Leaf,ECHEC,N/A,0
Thrips Leaf Damages,ECHEC,N/A,0
Tobacco Leaf Etch Virus,ECHEC,N/A,0
Tobacco Leaf Ringspot Virus,ECHEC,N/A,0
Tomato Early Blight,ECHEC,N/A,0
Tomato Fruit Bacterial Canker,ECHEC,N/A,0
Tomato Fruit Blossom End Rot,ECHEC,N/A,0
Tomato Leaf Bacterial Canker,ECHEC,N/A,0
Tomato Leaf Mold,ECHEC,N/A,0
Tomato Leaf Mosaic Virus,ECHEC,N/A,0
Tomato Leaf Septoria,ECHEC,N/A,0
Tomato Yellow Leaf Curl Virus,ECHEC,N/A,0
Twospotted Spider Mite Tetranychus urticae,ECHEC,N/A,0
Wheat Leaf Streak Mosaic Virus,ECHEC,N/A,0
Whiteflies Leaf,ECHEC,N/A,0
