merge_group,category,canonical_name,duplicates_found,image_count_total,recommendation,notes
Solanaceae,Vegetable Disease,Solanaceae_Bacterial_Soft_Rot,Solanaceae_Bacterial_Soft_Rot,72,KEEP,"Unique"
Solanaceae,Vegetable Disease,Solanaceae_Bacterial_Spot,Solanaceae_Bacterial_Spot,89,KEEP,"Unique"

Soybean,Crop Disease,Soybean_Healthy,Soybean__healthy,5090,KEEP,"Merged already"
Soybean,Crop Disease,Soybean_Mosaic_Virus,"Soybean_Leaf_Mosaic_Virus, Soybean__mosaic_virus",185,MERGE,"2 versions"
Soybean,Crop Disease,Soybean_Powdery_Mildew,Soybean__powdery_mildew,77,KEEP,"Unique"
Soybean,Crop Disease,Soybean_Leaf_Rust,Soybean_Leaf_Rust,174,KEEP,"Unique"
Soybean,Crop Disease,Soybean_Halo_Blight,Soybean_Leaf_Halo_Blight,142,KEEP,"Unique"

Strawberry,Fruit Disease,Strawberry_Healthy,"Strawberry__healthy (2), Strawberry__healthy (1), Strawberry__healthy, Strawberry_Healthy",4097,MERGE,"4 versions"
Strawberry,Fruit Disease,Strawberry_Leaf_Scorch,"Strawberry__Leaf_scorch (1), Strawberry___leaf_scorch, Strawberry_Leaf_scorch, Strawberry__Leaf_scorch",3892,MERGE,"4 versions"
Strawberry,Fruit Disease,Strawberry_Rotten,Strawberry__Rotten,564,KEEP,"Unique"

Tomato,Vegetable Disease,Tomato_Healthy,"Tomato__Tomato__healthy, Tomato__healthy, Tomato_Healthy, Tomato_healthy",4905,MERGE,"4 versions"
Tomato,Vegetable Disease,Tomato_Bacterial_Spot,"Tomato_Bacterial_Spot, Tomato__Bacterial_spot (1), Tomato__Bacterial_spot, Tomato__bacterial_spot, Tomato_Bacterial_Spot",6592,MERGE,"5+ versions"
Tomato,Vegetable Disease,Tomato_Early_Blight,"Tomato_Early_blight, Tomato__Early_blight, Tomato_Early_Blight, tomato_early_blight",3370,MERGE,"4 versions"
Tomato,Vegetable Disease,Tomato_Late_Blight,"Tomato_Late_blight, Tomato__Late_blight, Tomato_Late_blight",3482,MERGE,"3 versions"
Tomato,Vegetable Disease,Tomato_Septoria_Leaf_Spot,"Tomato__septoria_leaf_spot, Tomato_Septoria_Leaf_Spot, Tomato_septoria leaf spot (1), Tomato_septoria leaf spot, Tomato_septoria_leaf, Tomato_Septoria",7186,MERGE,"6+ versions"
Tomato,Vegetable Disease,Tomato_Target_Spot,"Tomato_Target_Spot, Tomato__target_spot, Tomato_target_spot",2313,MERGE,"3 versions"
Tomato,Vegetable Disease,Tomato_Leaf_Mold,"Tomato__Leaf_Mold, Tomato___Leaf_Mold, Tomato_Leaf_Mold, tomato_leaf_mold",3387,MERGE,"4 versions"
Tomato,Vegetable Disease,Tomato_Yellow_Leaf_Curl_Virus,"Tomato_Yellow_Leaf_Curl_Virus, Tomato__Tomato_YellowLeaf__Curl_Virus, Tomato__mosaic_virus (if YLCV related)",2625,MERGE,"2-3 versions"
Tomato,Vegetable Disease,Tomato_Mosaic_Virus,"Tomato__mosaic_virus (1), Tomato__mosaic_virus, tomato_leaf_curl",348,KEEP,"Check overlap with YLCV"
Tomato,Vegetable Disease,Tomato_Spider_Mite,"Tomato_Spider_Mites_Two_spotted_spider_mite, Tomato_Two_Spotted_Spider_Mite, Tomato_Spider_mites, tomato_spider_mites, Tomato_Spider_Mite",3144,MERGE,"5 versions"
Tomato,Vegetable Disease,Tomato_Leaf_Blight,Tomato_Leaf_Blight,1667,KEEP,"Unique"
Tomato,Vegetable Disease,Tomato_Leaf_Curl,"Tomato_Leaf_Curl, tomato_leaf_curl",2071,MERGE,"2 versions"
Tomato,Vegetable Disease,Tomato_Leaf_Miner,tomato_leaf_miner,1497,KEEP,"Unique"
Tomato,Vegetable Disease,Tomato_Verticillium_Wilt,"Tomato_Verticillium_Wilt, tomato_verticillium wilt",1545,MERGE,"2 versions"
Tomato,Vegetable Disease,Tomato_Rotten,Tomato__Rotten,488,KEEP,"Unique"
Tomato,Vegetable Disease,Tomato_Fruit_Blossom_End_Rot,Tomato_Fruit_Blossom_End_Rot,82,KEEP,"Unique"
Tomato,Vegetable Disease,Tomato_Leaf_Bacterial_Canker,Tomato_Leaf_Bacterial_Canker,134,KEEP,"Unique"
Tomato,Vegetable Disease,Tomato_Fruit_Bacterial_Canker,Tomato_Fruit_Bacterial_Canker,34,KEEP,"Unique"

Wheat,Crop Disease,Wheat_Healthy,"Wheat___Healthy (1), Wheat_Healthy, Wheat___Healthy, Wheat_Healthy (1)",4067,MERGE,"4 versions"
Wheat,Crop Disease,Wheat_Brown_Rust,"Wheat___Brown_Rust, Wheat__brown_rust, Wheat_Brown_rust, Wheat_Brown_Rust (1), Wheat_Brown_Rust",5878,MERGE,"5+ versions"
Wheat,Crop Disease,Wheat_Yellow_Rust,"Wheat___Yellow_Rust, Wheat_Yellow_rust, Wheat_Yellow_Rust",2746,MERGE,"3 versions"
Wheat,Crop Disease,Wheat_Leaf_Blight,Wheat_Leaf_blight,842,KEEP,"Unique"
Wheat,Crop Disease,Wheat_Blast,"Wheat_Blast (1), Wheat_Blast, Wheat___Blast",1294,MERGE,"3 versions"
Wheat,Crop Disease,Wheat_Fusarium_Head_Blight,Wheat_Fusarium_Head_Blight,611,KEEP,"Unique"
Wheat,Crop Disease,Wheat_Smut,Wheat_Smut,1200,KEEP,"Unique"
Wheat,Crop Disease,Wheat_Leaf_Streak_Mosaic_Virus,Wheat_Leaf_Streak_Mosaic_Virus,104,KEEP,"Unique"
Wheat,Crop Disease,Wheat_Mildew,Wheat_Mildew,812,KEEP,"Unique"
Wheat,Crop Disease,Wheat_Common_Root_Rot,Wheat_Common_Root_Rot,614,KEEP,"Unique"
Wheat,Crop Disease,Wheat_Aphid,Pest_Wheat_aphid,903,MERGE,"2 versions"
Wheat,Crop Disease,Wheat_Mite,Pest_Wheat_mite,800,MERGE,"2 versions"
Wheat,Crop Disease,Wheat_Stem_Fly,Pest_Wheat_stem_fly,234,KEEP,"Unique"

Sugarcane,Crop Disease,Sugarcane_Healthy,"Sugarcane_Healthy (1), Sugarcane_Healthy",1044,MERGE,"2 versions"
Sugarcane,Crop Disease,Sugarcane_Mosaic_Virus,Sugarcane_Mosaic_Virus,924,KEEP,"Unique"
Sugarcane,Crop Disease,Sugarcane_Rust,"Sugarcane_Rust (1), Sugarcane_Rust",1028,MERGE,"2 versions"
Sugarcane,Crop Disease,Sugarcane_RedRot,"Sugarcane_Red_Rot, Sugarcane_RedRot, RedRot",1523,MERGE,"3 versions (redrot common naming)"
Sugarcane,Crop Disease,Sugarcane_Yellow,"Sugarcane_Yellow_leaf, Sugarcane_Yellow, Sugar_Yellow",1527,MERGE,"3 versions"

Pepper_Bell,Vegetable Disease,Pepper_Bell_Healthy,"Pepper Bell Healthy, Pepper_bell___healthy, Pepper__bell___healthy, Bell pepper_bell___healthy, Bellpepper__Healthy, Bellpepper__Healthy (if exists)",3794,MERGE,"5+ naming variations"
Pepper_Bell,Vegetable Disease,Pepper_Bell_Bacterial_Spot,"Pepper Bell Bacterial Spot, Pepper_Bacterial_Spot, Pepper__bell___Bacterial_spot",1554,MERGE,"3 versions"

Cucumber,Vegetable Disease,Cucumber_Healthy,"Cucumber__healthy, Cucumber_Healthy",1312,MERGE,"2 versions"
Cucumber,Vegetable Disease,Cucumber_Rotten,"Cucumber__Rotten (1), Cucumber__Rotten, Cucumber_Rotten",1471,MERGE,"3 versions"

Cabbage,Vegetable Disease,Cabbage_Leaf_Bacterial_Blight,Cabbage_Leaf_Bacterial_Blight,80,KEEP,"Unique"
Cabbage,Vegetable Disease,Cabbage_Leaf_Bacterial_Soft_Rot,Cabbage_Leaf_Bacterial_Soft_Rot,72,KEEP,"Unique"
Cabbage,Vegetable Disease,Cabbage_Black_Rot,"Cauliflower_Black_Rot, Brassica_Black_leaf_spot (1), Brassica_Black_leaf_spot, Cauliflower_Alternaria_leaf_spot (1), Cauliflower_Alternaria_leaf_spot, Black Rot",3348,MERGE,"6+ versions - Brassica family overlap"
Cabbage,Vegetable Disease,Cauliflower_Insect_Damage,Cauliflower_Insect_Damage,639,KEEP,"Unique"
Cabbage,Vegetable Disease,Cauliflower_Healthy,Cauliflower_Leaf_Healthy,934,KEEP,"Unique"

Chili,Vegetable Disease,Chili_Healthy,chili_healthy,100,KEEP,"Unique"
Chili,Vegetable Disease,Chili_Curl_Virus,Chili_Curl_Virus,812,KEEP,"Unique"
Chili,Vegetable Disease,Chili_Nutrition_Deficiency,Chili_Condition + Chili_Nutrition_Deficiency,1776,MERGE,"2 versions"
Chili,Vegetable Disease,Chili_Cercospora_Leaf_Spot,"Chili_Cercospora_leaf_spot (1), Chili_Cercospora_leaf_spot",1466,MERGE,"2 versions"
Chili,Vegetable Disease,Chili_White_Spot,Chili_White_spot (1) + Chili_White_spot,2400,MERGE,"2 versions"

Peanut,Crop Disease,Peanut_Early_Leaf_Spot,"Peanut_Early_leaf_spot (1), Peanut_Early_leaf_spot",2000,MERGE,"2 versions"
Peanut,Crop Disease,Peanut_Late_Leaf_Spot,"Peanut_Late_leaf_spot (1), Peanut_Late_leaf_spot",2000,MERGE,"2 versions"

Pest_Generic,Pest,Pest_Armyworm,"fall armyworm (Spodoptera frugiperda) Larve, fall armyworm (Spodoptera frugiperda) Larve adults, fall armyworm (Spodoptera frugiperda) Dammage, Generic_Armyworm, maize fall army worm, Generic_Fall_Armyworm",2444,MERGE,"6 versions - consolidate to 'Pest_Fall_Armyworm'"
Pest_Generic,Pest,Pest_Aphids,"Aphids, Generic_Aphids",1195,MERGE,"2 versions"
Pest_Generic,Pest,Pest_Bollworm,"Cotton_Adult_Bollworm, Cotton_Larve_Bollworm, Damages_Fruit_Bollworm, Cotton__bollworm",195,REVIEW,"Split by life stage - may want unified"
Pest_Generic,Pest,Pest_Cabbage_Looper,"Pest_Cabbage_looper (2), Pest_Cabbage_looper (1)",234,MERGE,"2 versions"
Pest_Generic,Pest,Pest_Corn_Borer,Pest_Corn_borer,1018,KEEP,"Unique"
Pest_Generic,Pest,Pest_Whitefly,"Pest_Whitefly (1), Pest_Whitefly",829,MERGE,"2 versions"
Pest_Generic,Pest,Pest_Rice_Borer,"Pest_Rice_borer, CONSOLIDATED",302,MERGED,"Already consolidated"
Pest_Generic,Pest,Pest_Spider_Mite,Red_Spider_Mite + Spider_Mite_Leaf_Damages + Twospotted spider mite,702,MERGE,"3 related pest versions"
Pest_Generic,Pest,Pest_Weevil,"Curculionoidea (Weevil), Pest_Weevil, stem-boring weevil",1197,MERGE,"3 versions"
Pest_Generic,Pest,Pest_Thrips,Thrips_Leaf_Damages + Generic_Thrips,847,MERGE,"2 versions"
Pest_Generic,Pest,Pest_Caterpillar,Pest_Caterpillar,915,KEEP,"Unique"
Pest_Generic,Pest,Pest_Grasshopper,Generic_Grasshopper + Pest_Grasshopper,1782,MERGE,"2 versions"
Pest_Generic,Pest,Pest_Leafhopper,Cicadellidae,1200,KEEP,"Taxonomic name"

Cashew,Tree Crop,Cashew_Healthy,"Cashew_healthy, Cashew_Healthy",2442,MERGE,"2 versions"
Cashew,Tree Crop,Cashew_Anthracnose,"Cashew_anthracnose, Cashew_Anthracnose",1988,MERGE,"2 versions"
Cashew,Tree Crop,Cashew_Gumosis,"Cashew_gumosis, Cashew_Gumosis",819,MERGE,"2 versions"
Cashew,Tree Crop,Cashew_Leaf_Miner,"Cashew_leaf miner, Cashew_Leaf_Miner",1990,MERGE,"2 versions"
Cashew,Tree Crop,Cashew_Red_Rust,"Cashew_red rust, Cashew_Red_Rust",2313,MERGE,"2 versions"

Cassava,Root Crop,Cassava_Healthy,"Cassava__healthy, Cassava_healthy, Cassava_Healthy",1613,MERGE,"3 versions"
Cassava,Root Crop,Cassava_Bacterial_Blight,Cassava_Bacterial_Blight,2363,KEEP,"Unique"
Cassava,Root Crop,Cassava_Mosaic_Disease,"Cassava__mosaic_disease, Cassava_Mosaic_Disease",1120,MERGE,"2 versions"
Cassava,Root Crop,Cassava_Brown_Streak,Cassava_Brown_Streak_Disease + Cassava_Brown_Spot,1946,MERGE,"2 related"
Cassava,Root Crop,Cassava_Green_Mite,"Cassava_Green_Mite, Cassava_Green_Mite (dup)",2000,KEEP,"Unique"
Cassava,Root Crop,Cassava_Green_Mottle,Cassava_Green_Mottle,1000,KEEP,"Unique"

Mango,Tree Crop,Mango_Healthy,"Mango__healthy, Mango_Healthy_Fruit, Mango_Healthy_Leaf",1387,MERGE,"3 versions with body parts"
Mango,Tree Crop,Mango_Diseased_Fruit,"Mango_Diseased_Fruit, Mango__Rotten",797,MERGE,"2 versions"

Lychee,Tree Crop,Lychee_Healthy,Lychee_Healthy,1000,KEEP,"Unique (large dataset)"
Lychee,Tree Crop,Lychee_Anthrax_Leaf,Lychee_Anthrax_Leaf,1000,KEEP,"Unique"
Lychee,Tree Crop,Lychee_Bituminous_Leaf,Lychee_Bituminous_Leaf,1000,KEEP,"Unique"
Lychee,Tree Crop,Lychee_Curl_Leaf,Lychee_Curl_Leaf,1000,KEEP,"Unique"
Lychee,Tree Crop,Lychee_Deficiency_Leaf,Lychee_Deficiency_Leaf,1000,KEEP,"Unique"
Lychee,Tree Crop,Lychee_Dry_Leaf,Lychee_Dry_Leaf,1000,KEEP,"Unique"
Lychee,Tree Crop,Lychee_Felt_Leaf,Lychee_Felt_Leaf,1000,KEEP,"Unique"
Lychee,Tree Crop,Lychee_Leaf_Blight,Lychee_Leaf_Blight,1000,KEEP,"Unique"
Lychee,Tree Crop,Lychee_Leaf_Gall,Lychee_Leaf_Gall,1000,KEEP,"Unique"

Hibiscus,Ornamental,Hibiscus_Healthy,Hibiscus_Healthy,1000,KEEP,"Unique (large)"
Hibiscus,Ornamental,Hibiscus_Fungal_Infection,Hibiscus_Fungal_Infection,1000,KEEP,"Unique"
Hibiscus,Ornamental,Hibiscus_Citrus_Pot,Hibiscus_Citrus_Pot,1000,KEEP,"Unique"
Hibiscus,Ornamental,Hibiscus_Early_Mild_Spotting,Hibiscus_Early_Mild_Spotting,417,KEEP,"Unique"
Hibiscus,Ornamental,Hibiscus_Mild_Edge_Damage,Hibiscus_Mild_Edge_Damage,1000,KEEP,"Unique"
Hibiscus,Ornamental,Hibiscus_Senescent,Hibiscus_Senescent,1000,KEEP,"Unique"
Hibiscus,Ornamental,Hibiscus_Slightly_Diseased,Hibiscus_Slightly_Diseased,1000,KEEP,"Unique"
Hibiscus,Ornamental,Hibiscus_Wrinkled_Leaf,Hibiscus_Wrinkled_Leaf,1000,KEEP,"Unique"

Tea,Beverage Crop,Tea_Healthy,"Tea_Healthy (1), Tea_Healthy",1221,MERGE,"2 versions"
Tea,Beverage Crop,Tea_Brown_Blight,"Tea_Brown_Blight, Tea_Brown_blight, Tea_Brown_Blight (1)",1678,MERGE,"3 versions"
Tea,Beverage Crop,Tea_Red_Leaf_Spot,"Tea_Red_leaf_spot, Tea_Red_Spot, Tea_Red_Leaf_Spot",1429,MERGE,"3 versions"
Tea,Beverage Crop,Tea_Grey_Blight,Tea_Grey_Blight,1000,KEEP,"Unique"
Tea,Beverage Crop,Tea_Algal_Spot,Tea_Algal_Spot,1000,KEEP,"Unique"

Niphad_Grape,Fruit Disease,Niphad_Grape_Healthy,Niphad Grape_Healthy Leaves,1254,KEEP,"Unique regional variant"
Niphad_Grape,Fruit Disease,Niphad_Grape_Powdery_Mildew,Niphad Grape_Powdery Mildew,406,KEEP,"Unique regional variant"
Niphad_Grape,Fruit Disease,Niphad_Grape_Downey_Mildew,Niphad Grape_Downey Mildew,966,KEEP,"Unique regional variant (spelling: Downey)"

Misc_Brassica,Vegetable,Brassica_Black_Leaf_Spot,"Brassica_Black_leaf_spot (1), Brassica_Black_leaf_spot",436,MERGE,"Consolidate naming"
Misc_Insect,Pest,Generic_Insect_Family,Acrididae + Acrididae (1) + Multiple taxonomic families,VARIES,ORGANIZE,"Reorganize taxonomic pest classes by family - too granular"
Misc_Wheat_Wheat,Grain,blast_wheat,blast blé,3601,STANDARDIZE,"French naming - convert to English"
Misc_Wheat_Wheat,Grain,healthy_wheat,healthy blé,3229,STANDARDIZE,"French naming"
Misc_Wheat_Wheat,Grain,insect_wheat,insect blé,1654,STANDARDIZE,"French naming"
Misc_Wheat_Wheat,Grain,leaf_folder_wheat,leaf_folder blé,1332,STANDARDIZE,"French naming"
Misc_Wheat_Wheat,Grain,scald_wheat,scald blé,294,STANDARDIZE,"French naming"
Misc_Wheat_Wheat,Grain,stripes_wheat,stripes blé,1458,STANDARDIZE,"French naming"
Misc_Wheat_Wheat,Grain,tungro_wheat,tungro blé,1415,STANDARDIZE,"French naming"
