original_class_name,normalized_name,is_scientific_like,image_count
Cicadellidae,Cicadellidae,False,5740
Citrus_canker,Citrus canker,True,418
Coffee_berry_blotch_Bing,Coffee berry blotch Bing,False,243
Colomerus vitis,Colomerus vitis,True,176
Cordana,Cordana,False,391
Corn borer,Corn borer,True,1698
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize) Cercospora leaf spot Gray leaf spot,False,1642
Corn_(maize)___Common_rust_,Corn (maize) Common rust,False,1907
Corn_(maize)___healthy,Corn (maize) healthy,False,1859
Corn_(maize)___Northern_Leaf_Blight,Corn (maize) Northern Leaf Blight,False,1908
Corn_gray_leaf_spot,Corn gray leaf spot,False,494
Cucumber_angular_leaf_spot,Cucumber angular leaf spot,False,382
Dacus dorsalis(Hendel),Dacus dorsalis(Hendel),False,439
Dasineura sp,Dasineura sp,True,505
Deporaus marginatus Pascoe,Deporaus marginatus Pascoe,False,210
Downey-Mildew,Downey Mildew,False,413
Downy mildew of basil (Peronospora belbahrii),Downy mildew of basil (Peronospora belbahrii),False,50
Downy-Mildew,Downy Mildew,False,118
Early-Leaf-Spot,Early Leaf Spot,False,2226
Eggplant_cercospora_leaf_spot,Eggplant cercospora leaf spot,False,111
English grain aphid,English grain aphid,False,654
Erythroneura apicalis,Erythroneura apicalis,True,71
Flax budworm,Flax budworm,True,1066
Flea beetle,Flea beetle,True,789
Flea-Beetle,Flea Beetle,False,327
Garlic_leaf_blight,Garlic leaf blight,False,159
Ginger_leaf_spot,Ginger leaf spot,False,74
Grain spreader thrips,Grain spreader thrips,False,173
Grapevine_leafroll_disease,Grapevine leafroll disease,False,57
Grape_black_rot,Grape black rot,False,395
Grape___Black_rot,Grape Black rot,False,1888
Grape___Esca_(Black_Measles),Grape Esca (Black Measles),False,1920
Grape___healthy,Grape healthy,True,1692
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape Leaf blight (Isariopsis Leaf Spot),False,1722
Green bug,Green bug,True,325
Grub,Grub,False,860
Halo blight of bean (Pseudomonas syringae pv. phaseolicola),Halo blight of bean (Pseudomonas syringae pv. phaseolicola),False,183
Hypera postica(Alfalfa weevil),Hypera postica(Alfalfa weevil),False,524
Icerya purchasi Maskell,Icerya purchasi Maskell,False,722
Insect-Pest,Insect Pest,False,478
Large cutworm,Large cutworm,True,491
Late-Leaf-Spot,Late Leaf Spot,False,1388
Lawana imitata Melichar,Lawana imitata Melichar,False,578
Leaf-Curl,Leaf Curl,False,108
Legume blister beetle,Legume blister beetle,False,1409
Lettuce_downy_mildew,Lettuce downy mildew,False,98
Limacodidae,Limacodidae,False,1400
Locustoidea,Locustoidea,False,1394
Longlegged spider mite,Longlegged spider mite,False,245
Lycorma delicatula,Lycorma delicatula,True,5310
Lytta polita,Lytta polita,True,654
Mango flat beak leafhopper,Mango flat beak leafhopper,False,93
Maple_tar_spot,Maple tar spot,False,91
Meadow moth,Meadow moth,True,270
Miridae,Miridae,False,5081
Mole cricket,Mole cricket,True,1649
Mosaic-Virus,Mosaic Virus,False,383
Nipaecoccus vastalor,Nipaecoccus vastalor,True,99
Nutirtion-Deficiency,Nutirtion Deficiency,False,1165
Odontothrips loti,Odontothrips loti,True,177
Oides decempunctata,Oides decempunctata,True,283
Orange___Haunglongbing_(Citrus_greening),Orange Haunglongbing (Citrus greening),False,2010
Paddy stem maggot,Paddy stem maggot,False,261
Panonchus citri McGregor,Panonchus citri McGregor,False,385
Papilio xuthus,Papilio xuthus,True,449
Parathrene regalis,Parathrene regalis,True,140
Parlatoria zizyphus Lucus,Parlatoria zizyphus Lucus,False,74
Peach borer,Peach borer,True,691
Peach_anthracnose_Bing_0000,Peach anthracnose Bing 0000,False,362
Peach___Bacterial_spot,Peach Bacterial spot,False,1838
Peach___healthy,Peach healthy,True,1728
Pegomya betae(Beet fly),Pegomya betae(Beet fly),False,104
Penthaleus major,Penthaleus major,True,233
"Pepper,_bell___Bacterial_spot","Pepper, bell Bacterial spot",False,1913
"Pepper,_bell___healthy","Pepper, bell healthy",False,1988
Pestalotiopsis,Pestalotiopsis,False,401
Phyllocnistis citrella Stainton,Phyllocnistis citrella Stainton,False,404
Phyllocoptes oleiverus ashmead,Phyllocoptes oleiverus ashmead,False,172
Pieris canidia,Pieris canidia,True,469
Plant Healthy,Plant Healthy,False,1972
Plum_bacterial_spot_Bing,Plum bacterial spot Bing,False,177
Polyphagotars onemus latus,Polyphagotars onemus latus,False,84
Potato_early_blight,Potato early blight,False,195
Potato___Early_blight,Potato Early blight,False,1939
Potato___healthy,Potato healthy,True,1824
Potato___Late_blight,Potato Late blight,False,1939
Potosiabre vitarsis,Potosiabre vitarsis,True,565
Prodenia litura,Prodenia litura,True,1304
Pseudococcus comstocki Kuwana,Pseudococcus comstocki Kuwana,False,307
Raspberry_fire_blight_Bing,Raspberry fire blight Bing,False,104
Raspberry___healthy,Raspberry healthy,True,1781
Red spider,Red spider,True,529
Rhytidodera bowrinii white,Rhytidodera bowrinii white,False,555
Rice gall midge,Rice gall midge,False,506
Rice leaf caterpillar,Rice leaf caterpillar,False,487
Rice leaf roller,Rice leaf roller,False,1115
Rice leafhopper,Rice leafhopper,True,404
Rice shell pest,Rice shell pest,False,409
Rice Stemfly,Rice Stemfly,False,369
Rice water weevil,Rice water weevil,False,856
Rice_blast,Rice blast,True,127
Rust,Rust,False,1206
Salurnis marginella Guerr,Salurnis marginella Guerr,False,487
Scirtothrips dorsalis Hood,Scirtothrips dorsalis Hood,False,807
Sericaorient alismots chulsky,Sericaorient alismots chulsky,False,191
Small brown plant hopper,Small brown plant hopper,False,553
Soybean_bacterial_blight_Baidu,Soybean bacterial blight Baidu,False,630
Soybean___healthy,Soybean healthy,True,2022
Spodoptera exigua(Beet army worm),Spodoptera exigua(Beet army worm),False,1604
Spodoptera spp. (Armyworms),Spodoptera spp. (Armyworms),False,1071
Squash_powdery_mildew,Squash powdery mildew,False,146
Squash___Powdery_mildew,Squash Powdery mildew,False,1736
Sternochetus frigidus,Sternochetus frigidus,True,458
Strawberry_anthracnose,Strawberry anthracnose,True,77
Strawberry___healthy,Strawberry healthy,True,1824
Strawberry___Leaf_scorch,Strawberry Leaf scorch,False,1774
Tarnished plant bug,Tarnished plant bug,False,820
Tetradacus c Bactrocera minax,Tetradacus c Bactrocera minax,False,388
Therioaphis maculata Buckton,Therioaphis maculata Buckton,False,260
Thrips,Thrips,False,879
Tobacco_blue_mold_Bing,Tobacco blue mold Bing,False,156
Tomato_bacterial_leaf_spot,Tomato bacterial leaf spot,False,720
Tomato___Bacterial_spot,Tomato Bacterial spot,False,1702
Tomato___Early_blight,Tomato Early blight,False,1920
Tomato___healthy,Tomato healthy,True,1926
Tomato___Late_blight,Tomato Late blight,False,1851
Tomato___Leaf_Mold,Tomato Leaf Mold,False,1882
Tomato___Septoria_leaf_spot,Tomato Septoria leaf spot,False,1745
Tomato___Spider_mites Two-spotted_spider_mite,Tomato Spider mites Two spotted spider mite,False,1741
Tomato___Target_Spot,Tomato Target Spot,False,1827
Tomato___Tomato_mosaic_virus,Tomato Tomato mosaic virus,False,1790
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato Tomato Yellow Leaf Curl Virus,False,1961
Toxoptera aurantii,Toxoptera aurantii,True,226
Toxoptera citricidus,Toxoptera citricidus,True,189
Trialeurodes vaporariorum,Trialeurodes vaporariorum,True,692
Unaspis yanonensis,Unaspis yanonensis,True,419
Viteus vitifoliae,Viteus vitifoliae,True,354
Wheat blossom midge,Wheat blossom midge,False,485
Wheat phloeothrips,Wheat phloeothrips,True,292
Wheat sawfly,Wheat sawfly,True,339
Wheat_bacterial_leaf_streak_(black_chaff)_Baidu,Wheat bacterial leaf streak (black chaff) Baidu,False,1434
White backed plant hopper,White backed plant hopper,False,893
White margined moth,White margined moth,False,147
Whitefly,Whitefly,False,59
Wireworm,Wireworm,False,887
Xylotrechus,Xylotrechus,False,1150
Yellow cutworm,Yellow cutworm,True,479
Yellow rice borer,Yellow rice borer,False,504
Yellow-and-Black-Sigatoka,Yellow and Black Sigatoka,False,1954
Yellowish,Yellowish,False,46
Zucchini_bacterial_wilt_Bing,Zucchini bacterial wilt Bing,False,6064
