old_name,new_name
Rice shell pest,Rice shell pest
Rice Stemfly,Rice Stemfly
Rice water weevil,Rice water weevil
Rice_blast,Rice blast
Rust,Rust
Salurnis marginella Guerr,Salurnis marginella Guerr
Scirtothrips dorsalis Hood,Scirtothrips dorsalis Hood
Sericaorient alismots chulsky,Sericaorient alismots chulsky
Small brown plant hopper,Small brown plant hopper
Soybean_bacterial_blight_Baidu,Soybean bacterial blight Baidu
Soybean___healthy,Soybean healthy
Spodoptera exigua(Beet army worm),Spodoptera exigua(Beet army worm)
Spodoptera spp. (Armyworms),Spodoptera spp. (Armyworms)
Squash_powdery_mildew,Squash powdery mildew
Squash___Powdery_mildew,Squash Powdery mildew
Sternochetus frigidus,Sternochetus frigidus
Strawberry_anthracnose,Strawberry anthracnose
Strawberry___healthy,Strawberry healthy
Strawberry___Leaf_scorch,Strawberry Leaf scorch
Tarnished plant bug,Tarnished plant bug
Tetradacus c Bactrocera minax,Tetradacus c Bactrocera minax
Therioaphis maculata Buckton,Therioaphis maculata Buckton
Thrips,Thrips
Tobacco_blue_mold_Bing,Tobacco blue mold Bing
Tomato_bacterial_leaf_spot,Tomato bacterial leaf spot
Tomato___Bacterial_spot,Tomato Bacterial spot
Tomato___Early_blight,Tomato Early blight
Tomato___healthy,Tomato healthy
Tomato___Late_blight,Tomato Late blight
Tomato___Leaf_Mold,Tomato Leaf Mold
Tomato___Septoria_leaf_spot,Tomato Septoria leaf spot
Tomato___Spider_mites Two-spotted_spider_mite,Tomato Spider mites Two spotted spider mite
Tomato___Target_Spot,Tomato Target Spot
Tomato___Tomato_mosaic_virus,Tomato Tomato mosaic virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato Tomato Yellow Leaf Curl Virus
Toxoptera aurantii,Toxoptera aurantii
Toxoptera citricidus,Toxoptera citricidus
Trialeurodes vaporariorum,Trialeurodes vaporariorum
Unaspis yanonensis,Unaspis yanonensis
Viteus vitifoliae,Viteus vitifoliae
Wheat blossom midge,Wheat blossom midge
Wheat phloeothrips,Wheat phloeothrips
Wheat sawfly,Wheat sawfly
Wheat_bacterial_leaf_streak_(black_chaff)_Baidu,Wheat bacterial leaf streak (black chaff) Baidu
White backed plant hopper,White backed plant hopper
White margined moth,White margined moth
Whitefly,Whitefly
Wireworm,Wireworm
Xylotrechus,Xylotrechus
Yellow cutworm,Yellow cutworm
Yellow rice borer,Yellow rice borer
Yellow-and-Black-Sigatoka,Yellow and Black Sigatoka
Yellowish,Yellowish
Zucchini_bacterial_wilt_Bing,Zucchini bacterial wilt Bing
